fold,accuracy,precision,recall,f1,train_time,test_time
0,0.6857571964956195,0.9930040235842579,0.5031088082901555,0.6671859334753305,0.32042091750008694,0.0427674278998893
1,0.6957196495619524,0.9979366145838362,0.5163875598086125,0.6804498878393189,0.3214106445997459,0.04302723119963048
2,0.6927158948685856,0.9941755497334517,0.5057513163223978,0.6699682433790715,0.33266993190009087,0.044550894200074256
3,0.684630788485607,0.9967522313744948,0.5062131340935901,0.6710526081231973,0.3203206380996562,0.042677189600181006
4,0.6842263395092639,0.9974387178571315,0.49880478087649405,0.6644077341785553,0.32052716159996636,0.043357065400414285
5,0.7069103655483225,0.9970849416215897,0.5323847695390783,0.6938292147443095,0.324876061699797,0.0436765430999003
6,0.698097145718578,0.9947870236647569,0.5192461908580592,0.6821666420472774,0.33710521399989374,0.04462870050047059
7,0.6975212819228843,0.9945778511305647,0.5146666666666667,0.6779668991599713,0.3358408449001217,0.04574348550013383
8,0.7039559339008513,0.9910242422106796,0.5260323886639675,0.6869595790800365,0.33976276110006437,0.0444249635000233
9,0.6968452679018529,0.9950832723268807,0.5125455281262646,0.6759877291402601,0.3279598409997561,0.045433383300041895
